epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.04751,2.68188,0.23457,0.65021,2.29427,0.000190974,0.000190974,0.000190974
2,11.5564,2.12763,0.41564,0.91358,1.62702,0.000348664,0.000348664,0.000348664
3,16.6999,1.68374,0.64609,0.97531,1.02864,0.000467545,0.000467545,0.000467545
4,21.3994,1.41586,0.69547,0.99177,0.82922,0.000413364,0.000413364,0.000413364
5,26.2126,1.16114,0.83951,1,0.49698,0.000355152,0.000355152,0.000355152
6,31.1178,1.05144,0.83951,1,0.42899,0.00029694,0.00029694,0.00029694
7,35.9727,0.85298,0.90947,1,0.31065,0.000238728,0.000238728,0.000238728
8,41.3102,0.88281,0.95062,1,0.21596,0.000180516,0.000180516,0.000180516
9,46.3391,0.83976,0.96708,1,0.16328,0.000122304,0.000122304,0.000122304
10,51.2039,0.75629,0.97119,1,0.16179,6.4092e-05,6.4092e-05,6.4092e-05
